LLM,Vector DB,Embedding Type,System Prompt,Speed (s),Memory (MB),Response
mistral:latest,redis,all-mpnet-base-v2,"You are a helpful AI assistant. Use the following context to answer the query as accurately as possible. If the context is not relevant to the query, say 'I don't know'.",5.242,0.08," A Binary Search Tree (BST) is a binary tree with a special property called the BST-property, where for all nodes x and y, if y belongs to the left subtree of x, then the key at y is less than the key at x, and if y belongs to the right subtree of x, then the key at y is greater than the key at x. We assume that the keys of a BST are pairwise distinct. Each node has the following attributes: p (pointer to the parent), left (pointer to the left child), right (pointer to the right child), and key (the key stored at the node)."
mistral:latest,chroma,all-mpnet-base-v2,"You are a helpful AI assistant. Use the following context to answer the query as accurately as possible. If the context is not relevant to the query, say 'I don't know'.",5.146,0.095," A BST (Binary Search Tree) is a binary tree with a special property called the BST-property. For all nodes x and y, if y belongs to the left subtree of x, then the key at y is less than the key at x, and if y belongs to the right subtree of x, then the key at y is greater than the key at x. The keys in a BST are pairwise distinct. Each node has attributes such as p (pointer to the parent), left (pointer to the left child), right (pointer to the right child), and key (the key stored at the node)."
mistral:latest,mongo,all-mpnet-base-v2,"You are a helpful AI assistant. Use the following context to answer the query as accurately as possible. If the context is not relevant to the query, say 'I don't know'.",5.492,0.08," A BST (Binary Search Tree) is a binary tree with a special property called the BST-property. This property states that for all nodes x and y, if y belongs to the left subtree of x, then the key at y is less than the key at x, and if y belongs to the right subtree of x, then the key at y is greater than the key at x. We also assume that the keys of a BST are pairwise distinct. Each node in a BST has attributes such as p (pointer to the parent), left (pointer to the left child), right (pointer to the right child), and key (key stored at the node)."
mistral:latest,redis,all-mpnet-base-v2,You are an expert in technical writing and software engineering.,5.413,0.079," A Binary Search Tree (BST) is a binary tree that has a special property called the BST-property. This property requires that for all nodes x and y in the tree, if y belongs to the left subtree of x, then the key at y is less than the key at x. If y belongs to the right subtree of x, then the key at y is greater than the key at x. We also assume that the keys stored in a BST are pairwise distinct. Each node has pointers to its parent (p), left child (left), and right child (right), and a key attribute that stores the value at the node."
mistral:latest,chroma,all-mpnet-base-v2,You are an expert in technical writing and software engineering.,4.646,0.099," A Binary Search Tree (BST) is a type of binary tree that has a special property called the BST-property. In this property, for all nodes x and y, if y belongs to the left subtree of x, then the key at y is less than the key at x, and if y belongs to the right subtree of x, then the key at y is greater than the key at x. The keys in a BST are assumed to be pairwise distinct. Each node has attributes for its parent, left child, right child, and the key stored at it."
mistral:latest,mongo,all-mpnet-base-v2,You are an expert in technical writing and software engineering.,4.859,0.079," A Binary Search Tree (BST) is a special type of binary tree that has a specific property called the BST-property. This property ensures that for all nodes x and y, if y belongs to the left subtree of x, then the key at y is less than the key at x, and if y belongs to the right subtree of x, then the key at y is greater than the key at x. The keys in a BST are pairwise distinct. Each node has pointers to its parent, the left child, and the right child, as well as the key stored at the node."
mistral:latest,redis,all-mpnet-base-v2,You are a professor explaining concepts to a student.,5.015,0.079," A Binary Search Tree (BST) is a type of binary tree that has a special property called the BST-property. This property requires that for any given node x, all keys in its left subtree are strictly less than the key at x, and all keys in its right subtree are greater than or equal to the key at x. Additionally, we assume that the keys of a BST are pairwise distinct. Each node has pointers to its parent, left child, and right child, as well as a key attribute which stores the value at the node."
mistral:latest,chroma,all-mpnet-base-v2,You are a professor explaining concepts to a student.,5.814,0.101," A Binary Search Tree (BST) is a type of binary tree that has a special property called the BST-property. This property ensures that for all nodes x and y in the tree, if y belongs to the left subtree of x, then the key at y is less than the key at x, and if y belongs to the right subtree of x, then the key at y is greater than the key at x. We assume that the keys of a BST are pairwise distinct. Each node in a BST has attributes: p (pointer to the parent), left (pointer to the left child), right (pointer to the right child), and key (the stored value or key at the node)."
mistral:latest,mongo,all-mpnet-base-v2,You are a professor explaining concepts to a student.,5.255,0.1," A Binary Search Tree (BST) is a type of binary tree that has a special property called the BST-property. This property means that for all nodes x and y, if y belongs to the left subtree of x, then the key at y is less than the key at x, and if y belongs to the right subtree of x, then the key at y is greater than the key at x. Each node in a BST has a key attribute which stores the value at the node, and pointers to its parent, left child, and right child nodes. The keys of a BST are assumed to be pairwise distinct."
mistral:latest,redis,all-mpnet-base-v2,You are a creative storyteller.,5.559,0.101," A Binary Search Tree (BST) is a special type of binary tree where each node has a unique key and follows the BST property, which means for any given node x and y: if y belongs to the left subtree of x, then the key at y is less than the key at x; if y belongs to the right subtree of x, then the key at y is greater than the key at x. The assumption here is that the keys in a BST are always distinct. Each node has three attributes: p (pointer to the parent), left (pointer to the left child), right (pointer to the right child), and key (the stored key)."
mistral:latest,chroma,all-mpnet-base-v2,You are a creative storyteller.,5.163,0.079," A Binary Search Tree (BST) is a type of binary tree that has a special property called the BST-property. This property states that for all nodes x and y, if y belongs to the left subtree of x, then the key at y is less than the key at x, and if y belongs to the right subtree of x, then the key at y is greater than the key at x. The keys in a BST are pairwise distinct. Each node has attributes: p (pointer to the parent), left (pointer to the left child), right (pointer to the right child), and key (the stored key)."
mistral:latest,mongo,all-mpnet-base-v2,You are a creative storyteller.,5.118,0.1," A Binary Search Tree (BST) is a specialized type of binary tree that has a unique property known as the BST-property. This property states that for all nodes x and y, if y belongs to the left subtree of x, then the key at y is less than the key at x, and if y belongs to the right subtree of x, then the key at y is greater than the key at x. Each node in a BST has a key, pointers to its parent (p), left child, and right child (left and right), and it's assumed that the keys are pairwise distinct."
mistral:latest,redis,all-mpnet-base-v2,"You are a concise and direct AI, providing brief answers.",4.561,0.1," A Binary Search Tree (BST) is a binary tree with a special property called the BST-property: For all nodes x and y, if y belongs to the left subtree of x, then the key at y is less than the key at x, and if y belongs to the right subtree of x, then the key at y is greater than the key at x. The keys in a BST are pairwise distinct. Each node has pointers to its parent, left child, and right child, as well as the key stored at the node."
mistral:latest,chroma,all-mpnet-base-v2,"You are a concise and direct AI, providing brief answers.",5.817,0.102," A Binary Search Tree (BST) is a binary tree that has a special property called the BST-property, where for all nodes x and y, if y belongs to the left subtree of x, then the key at y is less than the key at x, and if y belongs to the right subtree of x, then the key at y is greater than the key at x. The keys in a BST are pairwise distinct. Each node has pointers to its parent, left child, and right child, as well as a key stored at the node."
mistral:latest,mongo,all-mpnet-base-v2,"You are a concise and direct AI, providing brief answers.",4.335,0.079," A Binary Search Tree (BST) is a binary tree with a special property called the BST-property, where for all nodes x and y, if y belongs to the left subtree of x, then the key at y is less than the key at x, and if y belongs to the right subtree of x, then the key at y is greater than the key at x. The keys in a BST are pairwise distinct. Each node has a key attribute and pointers to its parent, left child, and right child."
